sugar_content,caffeine_content,acidity_level,carbonation_level,soda_type
61,53,43,6.349606327,Coca_Cola
67,43,39,5.9999690260000005,Coca_Cola
67,58,39,5.453592032,Coca_Cola
66,60,38,6.372576327000001,Coca_Cola
82,43,38,5.105588355,Coca_Cola
84,50,44,5.9353444060000005,Coca_Cola
81,53,42,5.17782304,Coca_Cola
91,50,40,6.462391607000001,Coca_Cola
93,53,38,7.069172227,Coca_Cola
90,44,38,7.473134377,Coca_Cola
81,45,35,6.158376967000001,Coca_Cola
78,40,38,7.549873681,Coca_Cola
60,51,36,6.028321557999999,Coca_Cola
88,46,42,6.604993475,Coca_Cola
93,47,37,6.500343222000001,Coca_Cola
60,55,45,5.935745417000001,Coca_Cola
78,35,44,7.072655622,Coca_Cola
65,37,40,5.333322606,Coca_Cola
71,54,16,5.7499144210000015,Pepsi
61,44,17,6.931756557999999,Pepsi
80,43,16,6.657964753,Pepsi
73,58,21,6.596060648,Pepsi
61,38,20,5.970458434,Pepsi
68,41,16,6.158830619,Pepsi
93,41,17,6.047906679,Pepsi
89,60,19,5.913664501,Pepsi
76,44,17,5.855442401,Pepsi
67,60,25,5.750254943,Pepsi
70,44,19,5.852607099,Pepsi
90,49,21,6.4725232870000005,Pepsi
62,52,16,6.9670577620000005,Pepsi
92,44,16,6.082973754,Pepsi
66,54,21,5.919045532,Pepsi
63,58,22,6.204747652999999,Pepsi
70,47,17,6.600827017,Pepsi
61,41,17,6.021902237000001,Pepsi
66,53,19,6.033550195,Pepsi
74,55,19,6.28886807,Pepsi
77,57,21,6.550563822999999,Pepsi
99,50,15,5.573286437,Pepsi
74,56,22,6.829199275,Pepsi
83,45,21,5.716222912,Pepsi
100,48,16,5.54990242,Pepsi
79,51,16,6.586244581,Pepsi
94,39,18,5.893093135,Pepsi
75,49,15,5.918263801,Pepsi
78,48,22,5.588650585,Pepsi
87,54,20,6.576418207000001,Pepsi
87,35,25,6.178056304,Pepsi
63,43,19,6.641906353,Pepsi
84,57,25,6.489040367,Pepsi
64,35,23,5.680361037999999,Pepsi
60,46,22,6.625404347999999,Pepsi
98,44,21,6.524478032,Pepsi
75,56,18,5.696205468,Pepsi
86,55,21,6.803931519,Pepsi
98,35,18,6.252797547999999,Pepsi
76,57,18,6.092725883,Pepsi
99,56,17,6.234330356,Pepsi
60,44,23,5.722579819,Pepsi
74,48,17,6.430616465,Pepsi
89,60,17,5.983952675,Pepsi
69,51,23,6.80163854,Pepsi
96,46,22,6.499936446,Pepsi
61,60,15,6.265564338,Pepsi
74,58,18,6.727303282,Pepsi
74,43,23,6.325235159,Pepsi
63,43,17,6.807487794,Pepsi
99,36,20,6.671085817000001,Pepsi
77,36,23,6.648725327,Pepsi
87,60,23,6.439071996,Pepsi
60,38,17,6.474476516,Pepsi
94,54,17,5.871647806,Pepsi
95,38,22,5.730617109,Pepsi
84,44,21,5.850439831,Pepsi
77,58,19,5.791649933,Pepsi
66,44,20,6.740000687999999,Pepsi
63,35,16,6.272417541,Pepsi
79,45,20,5.715208817000001,Pepsi
72,60,25,5.773454729,Pepsi
67,51,24,5.584171461,Pepsi
86,36,24,5.787268394,Pepsi
76,48,18,5.77597783,Pepsi
75,53,18,6.864793607,Pepsi
81,45,23,6.192360002999999,Pepsi
73,45,21,6.636803222999999,Pepsi
71,35,24,5.826426917,Pepsi
96,54,22,6.960358276,Pepsi
99,39,18,6.11275104,Pepsi
62,48,20,6.708446922,Pepsi
86,37,16,5.561510732,Pepsi
94,50,19,5.873242491,Pepsi
76,39,24,6.995843776,Pepsi
77,52,17,5.714799723,Pepsi
74,39,23,6.78073637,Pepsi
81,49,20,5.513697923,Pepsi
63,42,21,5.798423907999999,Pepsi
99,38,21,6.352471866,Pepsi
90,52,25,6.822586546,Pepsi
68,40,19,6.655426355,Pepsi
60,57,24,6.1212940410000005,Pepsi
71,52,18,5.790770202999999,Pepsi
61,59,17,6.47444292,Pepsi
88,38,15,6.455116637000001,Pepsi
65,60,22,6.6069840860000015,Pepsi
78,37,22,6.330554389,Pepsi
78,58,15,6.5286312660000005,Pepsi
92,60,23,5.721667141,Pepsi
79,59,17,6.644205485,Pepsi
91,55,15,6.376651091,Pepsi
76,51,18,6.247040422,Pepsi
87,48,25,6.656730007999999,Pepsi
71,60,22,6.2048017,Pepsi
90,57,24,6.158860284,Pepsi
67,35,22,6.385684213999999,Pepsi
60,54,19,6.417820493,Pepsi
83,58,23,6.381201909,Pepsi
83,57,19,6.877869005,Pepsi
40,72,77,7.485996067,Sprite
23,72,84,6.920251378,Sprite
39,58,85,5.9969320370000005,Sprite
22,72,85,6.391173589,Sprite
36,67,77,7.152811172000001,Sprite
32,73,81,5.988992796000002,Sprite
58,70,84,6.231049027999999,Sprite
59,70,84,7.550808267000001,Sprite
42,62,75,7.010570541,Sprite
28,74,81,8.753795334,Sprite
58,66,79,8.718192847000001,Sprite
43,66,79,7.976607593,Sprite
58,63,81,6.515499548999999,Sprite
23,62,85,8.490127142,Sprite
27,62,77,6.576415562,Sprite
28,72,84,6.481783042999999,Sprite
50,56,76,7.966605025,Sprite
39,71,84,8.140825437,Sprite
25,78,76,7.228963452,Sprite
31,70,77,6.492546046,Sprite
26,80,83,7.528599957000001,Sprite
25,68,77,7.701446446,Sprite
31,78,76,8.519975748,Sprite
60,68,83,6.620900869,Sprite
59,62,83,8.104396057999999,Sprite
22,67,78,6.204090835,Sprite
36,65,80,6.051091339,Sprite
59,60,84,7.690962337999999,Sprite
54,77,85,7.8292111439999985,Sprite
43,68,81,6.761599706,Sprite
28,76,82,6.654425315,Sprite
42,79,85,6.129533877,Sprite
32,60,83,8.829273328,Sprite
22,78,76,8.621662982,Sprite
31,79,75,8.204862075,Sprite
28,58,81,6.18042747,Sprite
57,58,77,7.978996755,Sprite
49,55,78,7.863113671,Sprite
46,76,77,6.967843048,Sprite
54,61,77,6.206582192999999,Sprite
38,60,76,8.868741443,Sprite
59,55,79,8.766128654,Sprite
36,76,75,8.736337905,Sprite
57,68,81,8.081095263,Sprite
35,66,81,6.138243973,Sprite
35,64,78,7.496645259,Sprite
52,60,79,8.380185271,Sprite
27,76,83,6.289614016,Sprite
57,60,84,6.586777189,Sprite
52,68,78,6.89655198,Sprite
43,79,79,7.8067476560000015,Sprite
44,74,85,7.150681303,Sprite
24,55,78,6.64919573,Sprite
29,77,75,7.778591617999999,Sprite
20,60,78,6.358740355,Sprite
56,67,78,8.255450758,Sprite
37,66,85,6.456148474,Sprite
49,71,76,6.613072145,Sprite
59,69,80,8.165359297,Sprite
20,79,77,7.64867466,Sprite
24,56,85,6.545888558,Sprite
51,72,75,7.1042247970000005,Sprite
57,73,85,7.358099622,Sprite
22,64,82,6.4740245000000005,Sprite
52,73,79,7.840339388999999,Sprite
29,75,75,7.064790365,Sprite
44,59,78,7.599033472,Sprite
41,69,82,6.715587232000001,Sprite
52,56,85,6.81712422,Sprite
34,76,80,7.985417393,Sprite
42,74,83,7.545258424,Sprite
34,71,79,7.728998197,Sprite
27,73,79,7.354973451,Sprite
30,70,79,7.313122235,Sprite
57,57,75,7.785039076,Sprite
27,79,82,6.307004922999999,Sprite
32,71,85,6.4039823160000005,Sprite
31,76,82,7.599279991,Sprite
33,75,84,7.217018459,Sprite
47,80,77,7.561108006,Sprite
54,62,80,7.489545074,Sprite
47,79,78,6.609696734,Sprite
35,57,83,7.476800943,Sprite
53,73,77,7.325451279,Sprite
45,61,78,6.489389282,Sprite
37,78,79,7.786366322,Sprite
30,75,81,6.4084378860000015,Sprite
37,55,82,8.423873703,Sprite
53,65,76,8.719960893,Sprite
22,60,85,7.811997977000001,Sprite
60,61,78,6.317153205,Sprite
42,67,77,7.114405288,Sprite
39,76,76,8.135900726000001,Sprite
35,63,76,7.714153037999999,Sprite
30,65,82,7.103798069,Sprite
57,56,78,8.861479668,Sprite
48,65,78,7.861128148,Sprite
36,56,83,7.4526709,Sprite
40,58,75,7.168096055,Sprite
49,69,82,7.26311855,Sprite
13,60,25,5.68597166,Fanta_Orange
25,70,16,5.759237003,Fanta_Orange
31,55,22,5.873171894,Fanta_Orange
40,64,16,5.926676985,Fanta_Orange
2,61,20,5.95561668,Fanta_Orange
26,65,22,5.9499490810000015,Fanta_Orange
17,57,21,5.789214288999999,Fanta_Orange
26,80,18,5.581021521,Fanta_Orange
17,59,17,5.689858133,Fanta_Orange
27,59,22,5.794158503999999,Fanta_Orange
28,58,24,5.748190462999999,Fanta_Orange
25,57,19,5.566522896,Fanta_Orange
28,80,17,5.809419584,Fanta_Orange
25,60,22,5.887263027,Fanta_Orange
12,78,23,5.99812453,Fanta_Orange
6,77,25,5.792744849,Fanta_Orange
22,79,17,5.912289889,Fanta_Orange
27,80,15,5.7883869510000014,Fanta_Orange
10,55,23,5.728233081,Fanta_Orange
23,65,20,5.833940084,Fanta_Orange
19,78,16,5.967533236,Fanta_Orange
19,65,25,5.6250964460000015,Fanta_Orange
22,70,19,5.515615023,Fanta_Orange
37,64,22,5.954665349,Fanta_Orange
11,71,17,5.74644777,Fanta_Orange
18,79,20,5.877347515,Fanta_Orange
21,63,17,5.979973965,Fanta_Orange
24,80,22,5.635993966,Fanta_Orange
34,60,22,5.635231778,Fanta_Orange
16,75,21,5.679224346,Fanta_Orange
17,77,23,5.670062975,Fanta_Orange
37,72,18,5.724242065,Fanta_Orange
40,73,20,5.811314232000001,Fanta_Orange
9,77,17,5.783425416,Fanta_Orange
1,62,23,5.607808432000001,Fanta_Orange
33,59,22,5.946999529,Fanta_Orange
23,59,19,5.852046999,Fanta_Orange
6,62,22,5.824090984,Fanta_Orange
25,63,20,5.502999119,Fanta_Orange
7,79,23,5.821649914,Fanta_Orange
8,72,17,5.711439256,Fanta_Orange
27,64,15,5.514927264,Fanta_Orange
28,66,23,5.99616119,Fanta_Orange
32,57,18,5.695422862999999,Fanta_Orange
27,56,22,5.833010957999999,Fanta_Orange
17,77,24,5.568456899,Fanta_Orange
0,65,15,5.645435626,Fanta_Orange
13,72,21,5.821194486,Fanta_Orange
34,60,23,5.659254981,Fanta_Orange
9,80,19,5.945465949,Fanta_Orange
11,72,20,5.9511774520000005,Fanta_Orange
3,67,24,5.520880013999999,Fanta_Orange
35,69,23,5.578410206,Fanta_Orange
3,77,25,5.608165195,Fanta_Orange
23,62,19,5.609435127999999,Fanta_Orange
22,71,17,5.509295379,Fanta_Orange
31,79,25,5.902033406,Fanta_Orange
34,59,18,5.744117663,Fanta_Orange
12,63,17,5.717143397,Fanta_Orange
27,56,20,5.542690119,Fanta_Orange
7,63,24,5.858617867,Fanta_Orange
24,67,22,5.618844277000001,Fanta_Orange
11,71,24,5.6066203460000015,Fanta_Orange
37,74,15,5.582178402,Fanta_Orange
25,76,24,5.56503533,Fanta_Orange
34,66,17,5.889614577000001,Fanta_Orange
20,69,15,5.934136378,Fanta_Orange
37,65,16,5.683548308,Fanta_Orange
18,74,15,5.70836603,Fanta_Orange
4,67,25,5.948164454,Fanta_Orange
37,56,25,5.774755143999999,Fanta_Orange
5,59,15,5.97229163,Fanta_Orange
11,61,21,5.532100554,Fanta_Orange
22,80,20,5.669560726,Fanta_Orange
12,61,19,5.655726817000001,Fanta_Orange
5,74,21,5.591704013999999,Fanta_Orange
27,69,22,5.932323085,Fanta_Orange
31,75,18,5.824208308999999,Fanta_Orange
36,68,20,5.86442953,Fanta_Orange
5,65,16,5.866744372,Fanta_Orange
32,79,15,5.706198621,Fanta_Orange
11,78,22,5.940546818,Fanta_Orange
0,55,22,5.916779289,Fanta_Orange
14,59,15,5.779090476,Fanta_Orange
29,68,23,5.82738029,Fanta_Orange
32,68,19,5.514234138,Fanta_Orange
17,64,17,5.662699104,Fanta_Orange
13,69,19,5.86390397,Fanta_Orange
14,67,22,5.624690247999999,Fanta_Orange
9,69,20,5.591560999,Fanta_Orange
20,73,22,5.976312537999999,Fanta_Orange
40,78,20,5.669236258,Fanta_Orange
27,72,23,5.961934481,Fanta_Orange
14,67,15,5.690065688,Fanta_Orange
7,56,18,5.698371311,Fanta_Orange
27,65,18,5.59503163,Fanta_Orange
30,63,16,5.5259045260000015,Fanta_Orange
37,70,25,5.819403771,Fanta_Orange
27,63,19,5.562201934,Fanta_Orange
22,60,24,5.630664753,Fanta_Orange
3,72,24,6.03160778,Mountain_Dew
40,59,23,5.269084669,Mountain_Dew
33,73,23,5.985792703,Mountain_Dew
27,57,24,6.09186275,Mountain_Dew
10,79,18,5.624731337999999,Mountain_Dew
30,75,25,6.446091759,Mountain_Dew
40,70,20,5.623490042999999,Mountain_Dew
38,55,19,5.864623352000001,Mountain_Dew
35,58,20,5.761702519,Mountain_Dew
38,61,21,4.696518678,Mountain_Dew
33,58,24,5.269504214,Mountain_Dew
16,56,17,7.445444882999999,Mountain_Dew
31,72,17,5.833031707999999,Mountain_Dew
16,80,20,7.3393209289999986,Mountain_Dew
27,72,17,6.347929353,Mountain_Dew
40,62,19,4.697750704,Mountain_Dew
18,58,16,4.962661422,Mountain_Dew
3,68,16,4.964887857,Mountain_Dew
26,67,24,5.642813116,Mountain_Dew
16,70,20,5.6093956,Mountain_Dew
24,63,19,4.681576043,Mountain_Dew
9,76,25,5.70951224,Mountain_Dew
16,55,19,6.413543781,Mountain_Dew
28,75,21,6.007508163,Mountain_Dew
16,71,24,4.946369874,Mountain_Dew
24,70,21,5.517208078,Mountain_Dew
38,72,21,5.902103172,Mountain_Dew
9,66,21,5.719889876,Mountain_Dew
34,56,17,4.548202098,Mountain_Dew
1,76,19,6.6695294160000005,Mountain_Dew
6,69,19,4.7509292180000005,Mountain_Dew
26,73,21,4.946263888,Mountain_Dew
27,61,18,5.266227032,Mountain_Dew
27,71,23,7.10959773,Mountain_Dew
36,61,21,5.617008201,Mountain_Dew
17,73,18,5.632353113,Mountain_Dew
26,72,22,4.674941549,Mountain_Dew
17,64,16,7.161797643,Mountain_Dew
14,74,19,6.624966131,Mountain_Dew
39,60,15,5.004074623999999,Mountain_Dew
6,66,15,6.3458060110000005,Mountain_Dew
8,59,18,6.216814453,Mountain_Dew
2,67,18,5.921666758,Mountain_Dew
1,76,17,6.012719118,Mountain_Dew
16,73,19,4.684079249,Mountain_Dew
23,75,25,7.077170002000001,Mountain_Dew
32,70,20,6.208843215,Mountain_Dew
28,59,22,7.05181629,Mountain_Dew
5,62,23,4.722222454,Mountain_Dew
36,67,25,6.418062652000001,Mountain_Dew
1,66,23,4.803564468,Mountain_Dew
24,73,20,4.608695247,Mountain_Dew
17,67,18,5.611510977000001,Mountain_Dew
5,55,18,7.322097972000001,Mountain_Dew
5,56,24,5.023115055,Mountain_Dew
37,77,17,5.617122801,Mountain_Dew
13,73,20,5.391560417999999,Mountain_Dew
6,63,23,5.906596905,Mountain_Dew
16,77,22,6.574209678,Mountain_Dew
25,64,20,4.807776748999999,Mountain_Dew
34,75,24,4.760038038999999,Mountain_Dew
20,77,23,5.180271502,Mountain_Dew
35,80,25,4.895927306,Mountain_Dew
14,75,24,6.436160044,Mountain_Dew
36,80,21,7.066087261,Mountain_Dew
7,77,18,6.655918077999999,Mountain_Dew
29,78,25,5.982854522999999,Mountain_Dew
30,60,21,5.457871272999999,Mountain_Dew
20,74,16,4.759490199,Mountain_Dew
19,57,23,7.342409555,Mountain_Dew
3,60,19,4.820788186000001,Mountain_Dew
5,77,19,6.242052013,Mountain_Dew
5,68,20,5.001038726,Mountain_Dew
37,73,21,5.560224582999999,Mountain_Dew
9,59,24,4.747352458,Mountain_Dew
20,72,15,7.313517308,Mountain_Dew
31,56,23,5.661826398,Mountain_Dew
0,70,21,4.672437054,Mountain_Dew
21,74,15,6.471862118,Mountain_Dew
13,67,18,5.384762927000001,Mountain_Dew
27,74,20,5.8598134160000015,Mountain_Dew
29,72,24,6.962386495,Mountain_Dew
5,68,20,6.12166671,Mountain_Dew
39,57,19,6.421748487,Mountain_Dew
22,62,16,4.828936119,Mountain_Dew
18,55,23,6.98571967,Mountain_Dew
39,77,21,4.603563116,Mountain_Dew
13,75,20,6.979540061,Mountain_Dew
27,71,24,7.064973419,Mountain_Dew
26,64,22,5.16516459,Mountain_Dew
23,55,16,5.111488821,Mountain_Dew
4,69,19,5.374358869,Mountain_Dew
20,67,19,5.671419084,Mountain_Dew
7,74,17,5.667419697000001,Mountain_Dew
17,64,18,6.07938452,Mountain_Dew
35,71,17,6.931924962999999,Mountain_Dew
11,72,22,6.842744374,Mountain_Dew
20,60,22,6.876572502999999,Mountain_Dew
10,71,18,6.151029296,Mountain_Dew
33,61,24,4.567446499,Mountain_Dew
3,49,18,3.692863601,Dr_Pepper
22,59,23,4.371745575,Dr_Pepper
36,58,25,8.399135957999999,Dr_Pepper
4,43,18,8.840656256,Dr_Pepper
29,54,16,8.153022903,Dr_Pepper
32,43,22,5.270749441,Dr_Pepper
14,55,15,8.050304395,Dr_Pepper
5,35,20,9.679240873,Dr_Pepper
25,57,24,6.974978386,Dr_Pepper
11,53,24,7.39389918,Dr_Pepper
40,49,17,6.68727523,Dr_Pepper
38,56,25,7.88118645,Dr_Pepper
27,43,23,5.875333778,Dr_Pepper
24,38,22,8.202706015,Dr_Pepper
23,45,21,8.985348193,Dr_Pepper
29,57,20,5.87707519,Dr_Pepper
31,35,23,7.707595055,Dr_Pepper
0,55,25,4.524171562,Dr_Pepper
7,45,22,9.926212291,Dr_Pepper
17,58,25,6.455592696,Dr_Pepper
11,44,17,8.016210782,Dr_Pepper
22,49,22,3.71105919,Dr_Pepper
9,51,19,5.49091063,Dr_Pepper
28,48,15,9.254089438,Dr_Pepper
26,50,19,6.005242945,Dr_Pepper
36,56,20,7.437078236,Dr_Pepper
8,60,18,3.808429173,Dr_Pepper
24,37,21,5.818219385,Dr_Pepper
22,43,24,4.52363558,Dr_Pepper
36,43,24,3.510404312,Dr_Pepper
22,44,24,6.030447288,Dr_Pepper
17,43,22,5.498340807999999,Dr_Pepper
8,45,15,4.61136408,Dr_Pepper
7,56,23,5.545219232000001,Dr_Pepper
36,57,16,8.292875733999999,Dr_Pepper
11,45,19,3.828031463,Dr_Pepper
6,36,22,8.869532817,Dr_Pepper
17,57,20,3.793575185,Dr_Pepper
4,47,20,4.193189124,Dr_Pepper
9,49,16,7.661537347999999,Dr_Pepper
25,51,24,9.392694614,Dr_Pepper
36,44,21,4.516154055,Dr_Pepper
21,38,20,5.794289715,Dr_Pepper
37,57,20,7.354286985,Dr_Pepper
32,48,18,5.993513566,Dr_Pepper
29,44,20,8.620107545,Dr_Pepper
25,51,18,9.45949344,Dr_Pepper
10,44,24,8.0344125,Dr_Pepper
23,35,18,5.414492777,Dr_Pepper
9,60,23,6.2760043360000015,Dr_Pepper
3,58,21,9.160691747,Dr_Pepper
22,42,22,7.887658711,Dr_Pepper
12,39,21,8.183844843,Dr_Pepper
39,36,22,9.072011412,Dr_Pepper
32,41,16,7.702287236,Dr_Pepper
30,41,15,5.88509677,Dr_Pepper
19,36,22,6.16496284,Dr_Pepper
4,46,15,3.504752314,Dr_Pepper
21,39,20,7.388007482999999,Dr_Pepper
35,57,25,8.340398059,Dr_Pepper
22,55,24,8.66077954,Dr_Pepper
35,51,17,3.558822825,Dr_Pepper
17,56,17,5.9565851,Dr_Pepper
28,57,17,9.416003106,Dr_Pepper
22,36,16,8.18422855,Dr_Pepper
11,41,19,5.131779302,Dr_Pepper
38,38,18,6.294130312999999,Dr_Pepper
23,37,24,7.991902443,Dr_Pepper
25,35,20,8.923095695,Dr_Pepper
40,45,20,6.878498176,Dr_Pepper
23,58,19,5.243634848999999,Dr_Pepper
2,56,23,7.550090941,Dr_Pepper
3,56,17,8.709291687999999,Dr_Pepper
26,51,25,7.792508067999999,Dr_Pepper
39,42,20,8.055908857999999,Dr_Pepper
27,59,20,4.397698806,Dr_Pepper
24,45,19,5.9523849570000005,Dr_Pepper
7,40,17,8.532078732999999,Dr_Pepper
15,45,23,7.224193642,Dr_Pepper
26,52,23,4.931890506,Dr_Pepper
20,45,16,4.626212446,Dr_Pepper
34,54,24,5.026003659,Dr_Pepper
19,51,25,3.5253661,Dr_Pepper
29,41,21,8.86979671,Dr_Pepper
20,50,22,9.406887533,Dr_Pepper
11,40,23,5.80428611,Dr_Pepper
15,54,15,8.35495812,Dr_Pepper
35,55,22,8.634929739,Dr_Pepper
9,59,25,7.699200949,Dr_Pepper
40,45,18,5.261285926,Dr_Pepper
35,38,19,9.112771682,Dr_Pepper
14,58,17,4.605700542,Dr_Pepper
40,55,18,7.115994051,Dr_Pepper
18,36,23,7.214078621,Dr_Pepper
35,52,15,9.93509073,Dr_Pepper
4,59,22,8.914074888,Dr_Pepper
22,51,16,8.639586199,Dr_Pepper
33,47,17,8.621514073,Dr_Pepper
2,51,17,5.838508699,Dr_Pepper
16,51,21,3.532008668,Dr_Pepper
19,55,20,7.18530147,Seven_Up
8,54,20,7.034214276,Seven_Up
36,55,20,6.635968697999999,Seven_Up
10,56,16,6.828187498999998,Seven_Up
22,56,17,6.89077995,Seven_Up
9,57,24,7.165121108999998,Seven_Up
34,59,23,6.935804256,Seven_Up
31,51,25,7.196774236,Seven_Up
0,49,18,6.990095452,Seven_Up
21,39,20,7.064782137999999,Seven_Up
28,35,22,7.156563094,Seven_Up
17,52,17,6.364967184,Seven_Up
24,42,23,6.428054409,Seven_Up
28,46,16,6.664187809,Seven_Up
21,38,21,6.637677489,Seven_Up
34,60,25,6.79385576,Seven_Up
19,53,22,6.852884642999999,Seven_Up
31,58,15,7.121571293,Seven_Up
19,35,24,6.883308033,Seven_Up
24,53,17,6.421271178,Seven_Up
13,47,20,6.54450214,Seven_Up
31,53,16,6.452006451,Seven_Up
28,45,23,6.489259136,Seven_Up
31,37,21,6.713410626,Seven_Up
33,60,15,6.510840928,Seven_Up
34,45,21,6.2873801170000005,Seven_Up
13,57,25,6.86308576,Seven_Up
33,57,17,6.78415271,Seven_Up
32,57,22,6.769415887999999,Seven_Up
23,59,25,6.320768488,Seven_Up
35,41,18,6.705008503999999,Seven_Up
6,48,24,6.790736339,Seven_Up
29,36,25,7.130278657000001,Seven_Up
4,36,22,7.012740397000001,Seven_Up
10,59,22,7.1556850160000005,Seven_Up
14,48,21,6.991242362,Seven_Up
8,50,21,6.218923893,Seven_Up
20,40,15,7.199495367999999,Seven_Up
36,43,22,6.3898821660000005,Seven_Up
14,57,15,6.623438282,Seven_Up
11,60,23,7.033012777000001,Seven_Up
10,59,15,6.32400451,Seven_Up
7,60,25,6.397636709,Seven_Up
2,47,15,6.401455706,Seven_Up
20,45,22,6.904587016,Seven_Up
2,39,15,6.478557136,Seven_Up
27,40,24,7.063022095,Seven_Up
35,48,15,6.981758362000001,Seven_Up
4,59,25,6.227134139,Seven_Up
1,48,24,6.232836962,Seven_Up
36,43,21,7.140437859,Seven_Up
11,46,24,6.459252023,Seven_Up
34,47,19,6.568795403999999,Seven_Up
21,44,18,7.12851089,Seven_Up
17,58,20,6.42937879,Seven_Up
25,40,21,6.248900919,Seven_Up
2,38,18,6.619891497999999,Seven_Up
9,48,20,6.377568542000001,Seven_Up
37,49,25,6.415459592,Seven_Up
36,38,15,6.3206620120000006,Seven_Up
40,58,15,6.978400282000001,Seven_Up
30,44,16,6.442335592999999,Seven_Up
1,59,23,7.184398832,Seven_Up
9,48,22,6.402926221,Seven_Up
14,41,17,7.085982325,Seven_Up
35,52,19,6.698574085,Seven_Up
31,48,17,6.594739424,Seven_Up
4,41,20,6.647965508,Seven_Up
30,37,25,7.120032489,Seven_Up
9,35,20,6.91380932,Seven_Up
20,41,20,7.073048264,Seven_Up
37,50,23,6.5304707,Seven_Up
34,35,21,6.684381357,Seven_Up
14,37,15,6.581351374,Seven_Up
23,39,22,6.86483915,Seven_Up
5,45,21,6.487124217000001,Seven_Up
22,37,20,6.605733067999999,Seven_Up
40,51,17,6.860602782000001,Seven_Up
27,56,20,6.41874299,Seven_Up
31,40,22,6.365513634,Seven_Up
38,36,21,6.5563729660000005,Seven_Up
6,37,17,6.760694227999999,Seven_Up
6,47,18,6.715276662999999,Seven_Up
24,44,17,6.666380512000001,Seven_Up
25,59,19,6.626629798,Seven_Up
32,56,21,6.702772465,Seven_Up
8,45,18,7.011030515,Seven_Up
19,39,17,6.890156495,Seven_Up
39,37,15,6.821747052,Seven_Up
33,37,19,7.183189922,Seven_Up
26,54,17,6.27258822,Seven_Up
21,51,15,6.679127482,Seven_Up
